country,product,value,rca,eci,coi,pci,cog,density,Dpt_name,rca2,rpca
Boyaca,4723,11815.32635,0,-0.313516702997745,-0.0268807065935751,-1.05601456024314,-1.47444155186131,0.273423471624388,Boyaca,0.4226458770075568,0.32787724265707413
Boyaca,4724,34818.20807,1,-0.313516702997745,-0.0268807065935751,-1.23241545994524,-0.250523896488599,0.306270625023621,Boyaca,1.1342812592854778,0.8799447289662468
Boyaca,4729,19026.70419,1,-0.313516702997745,-0.0268807065935751,-1.0335403698906,-0.250523896488599,0.292892436069076,Boyaca,1.8059655504879546,1.4010192391325949
Boyaca,4731,11795.85581,1,-0.313516702997745,-0.0268807065935751,-1.09750411934076,-0.250523896488599,0.303443996276761,Boyaca,1.7277162872187855,1.3403155766189678
Boyaca,4732,253.25915,0,-0.313516702997745,-0.0268807065935751,-0.942719354027013,-1.35751140437431,0.229093462055805,Boyaca,0.15695574913901428,0.12176202595714734
Boyaca,4741,4658.2689,0,-0.313516702997745,-0.0268807065935751,0.210279934179831,0.53951624858691,0.173094534135394,Boyaca,0.7872291341878053,0.6107110749176866
Boyaca,4751,2668.61116,0,-0.313516702997745,-0.0268807065935751,-0.220922935194996,-0.193317306417864,0.179407694467144,Boyaca,0.546866051420741,0.42424389494136316
Boyaca,4752,50083.87073,1,-0.313516702997745,-0.0268807065935751,-0.924924242397524,-0.250523896488599,0.307676371941615,Boyaca,1.1162902200533074,0.8659877672238427
Boyaca,4753,93.01992,1,-0.313516702997745,-0.0268807065935751,-0.309973469429889,-0.250523896488599,0.278339835289663,Boyaca,1.976647052351059,1.5334293328963688
Boyaca,4754,6048.3427,0,-0.313516702997745,-0.0268807065935751,-0.266701246240308,-0.327612560527151,0.212528990600975,Boyaca,0.13622055541820677,0.105676223366869
Boyaca,4755,4804.55497,0,-0.313516702997745,-0.0268807065935751,-0.664149690805847,-1.00351335955812,0.252679186493678,Boyaca,0.4300950830867222,0.3336561353000453
Boyaca,4759,31078.94043,1,-0.313516702997745,-0.0268807065935751,-0.680771190292433,-0.250523896488599,0.294667409514739,Boyaca,1.0988997543103325,0.8524967141543082
Boyaca,4761,19830.44737,0,-0.313516702997745,-0.0268807065935751,0.0610612880664825,-0.120775324255335,0.197690392137065,Boyaca,0.5868915824206734,0.4552946195646829
Boyaca,4762,481.08573,0,-0.313516702997745,-0.0268807065935751,0.0488499472250888,0.308913281091957,0.184171180285323,Boyaca,0.11763858654481517,0.09126083438807556
Boyaca,4769,378.5232,0,-0.313516702997745,-0.0268807065935751,-0.0367939231392707,0.196940736988752,0.2077028615367,Boyaca,0.16309670320521671,0.1265260120647752
Boyaca,4771,47756.8906,0,-0.313516702997745,-0.0268807065935751,-0.958302061797808,-1.30297614823863,0.268791310164826,Boyaca,0.7032560416992071,0.5455670204731267
Boyaca,4772,12183.47481,1,-0.313516702997745,-0.0268807065935751,-0.677793300837459,-0.250523896488599,0.291131323557193,Boyaca,1.0917753587224006,0.8469698007072678
Boyaca,4773,17029.51347,0,-0.313516702997745,-0.0268807065935751,-0.390150007238259,-0.63976847918076,0.240533649303254,Boyaca,0.5885873673319106,0.4566101636432686
Boyaca,4774,23561.64654,1,-0.313516702997745,-0.0268807065935751,-0.638658249079934,-0.250523896488599,0.279919746289079,Boyaca,1.8648451089355518,1.44669640841992
Boyaca,4775,7354.17732,1,-0.313516702997745,-0.0268807065935751,-0.793062329620661,-0.250523896488599,0.283798613271658,Boyaca,2.3936442433197778,1.856924477670073
Boyaca,4781,22340.93649,0,-0.313516702997745,-0.0268807065935751,-1.13499515742706,-1.61077503155706,0.278799219683149,Boyaca,0.5554969213738274,0.43093949046446645
