year,state,industry,people,wage
2012,Amazonas,6021,82.61194012611514,49976604.87806721
2012,Amazonas,6031,420.98939551941,205036705.61206272
2012,Amazonas,6041,32.19449888167364,20359945.826900914
2012,Amazonas,6042,11.156619324606044,6693971.594763626
2012,Amazonas,6112,19.779703623484213,15193956.864796568
2012,Amazonas,6120,53.024999674217966,52081916.40602721
2012,Amazonas,6211,12.383976930241687,19614309.79388533
2012,Amazonas,6212,5.151734929678985,3606214.4507752894
2012,Amazonas,6213,10.75902682609508,6185711.81776777
2012,Amazonas,6310,145.22195794170256,40850220.16813242
2012,Amazonas,6320,5.046881429262867,3532817.000484007
2012,Amazonas,6332,3.956355280847859,3165084.2246782873
2012,Amazonas,6333,42.011939088056515,24174403.10883522
2012,Amazonas,6340,100.39577434279352,199339777.06608054
2012,Amazonas,6412,10.418811503970069,8333447.977986637
2012,Amazonas,6421,58.20732212386896,49304767.53933999
2012,Amazonas,6422,49.388922494847705,40093726.739567965
2012,Amazonas,6511,20.220740120141294,25173906.636777233
2012,Amazonas,6512,66.93477138160378,80295491.0723848
2012,Amazonas,6593,4.247516450252673,2489044.6398480665
2012,Amazonas,6601,7.413722490386912,7265448.040579174
2012,Amazonas,6604,10.68504471314926,17559107.29477118
2012,Amazonas,7010,6.583639591125207,3726340.008576867
2012,Amazonas,7020,5.324299928010691,3013553.7592540514
2012,Amazonas,7250,21.728900191157244,15889926.634265656
2012,Amazonas,7310,10.395839245759454,20479836.831984766
2012,Amazonas,7411,12.073594351754817,15926940.162459094
2012,Amazonas,7412,33.072342978592914,66220379.8535966
