state,industry,people,wages,education
Antioquia,1312,29804.0407,65251270307.6,180135.15540000002
Antioquia,1313,73414.2362,96145028976.9756,421634.7851
Antioquia,1391,5216.9396,2713604999.106,34389.8302
Antioquia,1392,28325.0688,24770447021.938,158223.3597
Antioquia,1394,9843.534,8303926548,38371.865999999995
Antioquia,1399,12021.411399999999,16435644756,79610.99919999999
Antioquia,1410,1112592.38644,1262134381401.1726,6050674.47803
Antioquia,1420,1826.8429,2156851452.5,12087.5153
Antioquia,1430,3359.2552,1812639970,15459.5468
Antioquia,1512,24808.6595,29761832503.3064,108583.656
Antioquia,1513,7396.4588,10685785924.658,49519.453
Antioquia,1521,29812.293999999998,37746335690,157035.7139
Antioquia,1522,76825.5333,99219810847.724,398186.6502
Antioquia,1523,5986.7858,5620925010,35421.4962
Antioquia,1610,13879.3978,14692814021.252,74700.445
Antioquia,1620,2065.3158,4498156108.452,13450.765500000001
Antioquia,1630,34400.60759,32281498962.2,159189.74265
Antioquia,1640,260.0112,236246176.31999996,1300.0559999999998
Antioquia,1690,15083.653900000001,7760525247,66800.2482
Antioquia,1701,13881.6086,32313520790,121568.5609
Antioquia,1702,41502.4333,58825605420,280035.9566
Antioquia,1709,31449.09036,76231974296.1904,247519.9267
Antioquia,1811,77594.20993,108627114843.2016,471562.13265
Antioquia,1812,4500.2731,9182883700,32276.5394
Antioquia,1921,9191.3996,16381563120,77474.587
Antioquia,2011,15808.7399,65229422216.5,142566.8792
Antioquia,2012,5700.7249999999995,18255528000,36110.095
Antioquia,2013,1070.142,7062937200,10701.42
Antioquia,2021,2379.8076,5717087400,20547.874
Antioquia,2022,28528.0945,55619059155,213126.7364
Antioquia,2023,106412.52818,229587456372.38,781105.6728
Antioquia,2029,6395.1788,14143193822,49860.4167
Antioquia,2030,3280.3136999999997,20797461750,32803.137
Antioquia,2100,87116.6277,295621285614.3544,687332.5695
Antioquia,2211,2429.239,3609845089.684,18706.905
Antioquia,2212,1322.44,1983660000,10579.52
Antioquia,2219,2777.2892,14203061940,26877.7018
Antioquia,2221,23983.7268,46066990593.8948,153980.1562
Antioquia,2229,171146.28682,258805945621.2902,1068431.6767
Antioquia,2310,17561.558399999998,26357963960,107003.2231
Antioquia,2391,13299.407000000001,80793152600,110730.43500000001
Antioquia,2392,55867.2882,78126226419.8,278588.605
Antioquia,2393,28620.8787,42449712582.940796,177411.0104
Antioquia,2394,43935.7701,206318766999.91782,353045.6503
Antioquia,2395,14350.8958,78639276036,97937.1566
Antioquia,2396,11156.3643,24147766900,47581.2652
Antioquia,2410,5400.72565,8047341620,37859.19625
Antioquia,2421,1235.33,2470660000,6176.65
Antioquia,2429,4707.6512999999995,8409479120,27964.598299999998
Antioquia,2431,1539.9600999999998,2512218440,7699.800499999999
Antioquia,2511,160065.7169,277858239977.4756,903229.38555
Antioquia,2512,6715.147,10666996400,49597.852
Antioquia,2513,106.0965,233412300,954.8685
Antioquia,2591,1618.71645,5471851646.2,14503.64285
Antioquia,2592,21780.5139,19210712410,114269.1248
Antioquia,2593,19054.838649999998,42725367669,121056.39934999999
Antioquia,2599,68355.75719,92662966037,383216.16056
Antioquia,2610,3683.9952000000003,4646421940,26737.1279
Antioquia,2620,2324.783,3255877100,20667.362
Antioquia,2640,3231.116,8077790000,32311.16
Antioquia,2651,134.2772,201415800,1342.772
Antioquia,2670,809.2521,809252100,4046.2605000000003
Antioquia,2711,17157.1192,25849374650,114045.6154
Antioquia,2712,1562.143,2264905400,10566.25
Antioquia,2720,2183.0412,25281421747.4,24204.32
Antioquia,2731,3160.575,4424805000,28445.175
Antioquia,2740,9951.449,38984974270,74853.6393
Antioquia,2750,51319.6849,104913693425.324,354268.1087
Antioquia,2790,4636.3318,5626288322.8556,29760.404899999998
Antioquia,2812,1481.608,1481608000,13334.472
Antioquia,2813,2376.237,13293794300,26138.607
Antioquia,2814,651.0213,651021300,3255.1065
Antioquia,2816,7240.906,13981262000,53469.806000000004
Antioquia,2819,6099.2908,13627770080,41592.5099
Antioquia,2822,837.9321,1089311730,6703.4568
Antioquia,2824,5685.417,8528125500.000001,17056.251
Antioquia,2825,3635.0963,4753953250,32857.507
Antioquia,2829,14306.1031,39306305170,93519.34939999999
Antioquia,2910,10829.2046,23458120849,73580.0761
Antioquia,2920,8995.8624,10335494600,44950.5438
Antioquia,2930,27031.6727,33871142215.376,165397.5288
Antioquia,3011,98.63165,108494815,493.15824999999995
Antioquia,3012,2949.742,7268164288,26547.678
Antioquia,3091,38867.56148,79334284966,292336.3923
Antioquia,3092,788.9756,1972439000,4733.8536
Antioquia,3110,273342.7124,352829541856.79,1511343.5581
Antioquia,3120,22516.744300000002,25071493329.49,121396.3972
Antioquia,3210,52824.2604,40340880902.2532,306540.5589
Antioquia,3220,2548.717,2412024108.736,7646.151
Antioquia,3230,1040.021,1040021000,5200.105
Antioquia,3240,8522.176010000001,2472289991,43870.45395
Antioquia,3250,27110.939,42150722418.644,190391.4324
Antioquia,3290,76644.7213,113138343176,455571.3385
Antioquia,3311,19316.9427,39729153050,134104.6324
Antioquia,3312,53491.4229,77651471879.61,334224.8437
Antioquia,3313,6658.8139,13904961790,38012.6717
Antioquia,3314,7726.0172,11241602772,66528.579
Antioquia,3315,1441.5629,4421465110,12134.6817
Antioquia,3319,1709.51,854755000,8547.55
Antioquia,3320,7070.9364,13537670230,54923.6316
Antioquia,3511,78487.6547,363453848400.67,643634.3476
Antioquia,3512,6190.621,50433773000,46673.135
Antioquia,3513,24664.7046,138404904461.6,224654.00590000002
Antioquia,3514,24530.8173,81007273275.9684,198715.29809999999
Antioquia,3520,11590.2061,14316963100,68792.5615
Antioquia,3600,82350.69522,274919998137.624,622449.22558
Antioquia,3700,3875.0825999999997,17412003870,29761.1609
Antioquia,3811,77645.53871,84109035545.648,394050.21424
Antioquia,3812,607.2474,959450892,2428.9896
Antioquia,3821,2057.0541000000003,4436800100,16234.6355
Antioquia,3822,2069.3391,2297201300,13764.628499999999
Antioquia,3830,114457.6684,139647311166.768,392346.7885
Antioquia,4111,1263900.6196,1665247238788.354,5826035.61281
Antioquia,4112,152811.46045,184824655225.623,757895.72489
Antioquia,4210,341629.51605,646587512168.92,1879114.96437
Antioquia,4220,29728.302200000002,49564386291.2,174369.593
Antioquia,4290,117904.65953,195321201441.01605,746088.01361
Antioquia,4311,3016.506,3016506000,9049.518
Antioquia,4312,9981.9503,16242399650,39482.5532
Antioquia,4321,200575.17105,301625491311.104,1321953.29515
Antioquia,4322,76154.0929,110399374344.946,426308.42
Antioquia,4329,17457.7598,41192396376,140628.4062
Antioquia,4330,256357.31523,263091250489.1,1204641.25298
Antioquia,4390,11884.271499999999,14483197942.7012,55853.452099999995
Antioquia,4511,56008.868,118319449262.6964,411091.0964
Antioquia,4512,30477.7573,100175917070,194771.3979
Antioquia,4520,381982.74958,426717764489.77,1971961.3714700001
Antioquia,4530,87424.0739,168967785610.0882,554526.8377
Antioquia,4541,52320.3703,108981323015,366698.7901
Antioquia,4542,106963.8694,96122922014.22,545885.4392
Antioquia,4610,4685.920700000001,27174123850,45484.9358
Antioquia,4620,76309.93161,234333803276.6,499488.01979
Antioquia,4631,158196.53872,297497481096.956,960564.9137800001
Antioquia,4632,38431.9469,71382122398.278,221042.1207
Antioquia,4641,9321.1832,11913320597,71235.5532
Antioquia,4642,18329.633700000002,25658052742,144607.1302
Antioquia,4643,2805.107,3506383750,25245.963
Antioquia,4644,6965.8235,10704764686.1516,39564.7794
Antioquia,4645,47387.7502,138402304665.313,359453.7164
Antioquia,4649,44940.2027,117089176099.6046,313301.7929
Antioquia,4651,5574.044,8249565400,45648
Antioquia,4652,9583.1323,27006076075,73174.919
Antioquia,4653,3526.7839999999997,4463149400,26597.789999999997
Antioquia,4659,23941.095,116574613274,191959.7243
Antioquia,4661,9923.4319,26537026142,52412.6555
Antioquia,4662,4491.696,7782941300,31057.0231
Antioquia,4663,76959.1094,134528949346.7996,500442.5957
Antioquia,4664,14277.2963,28024978792,106409.736
Antioquia,4665,40109.9139,36549196901.6702,192192.6522
Antioquia,4669,5543.5136999999995,22829728160,48767.3315
Antioquia,4690,4452.0983,5813352248.4556,37437.5811
Antioquia,4711,754991.40697,1006609456943.2704,3999826.59088
Antioquia,4719,149804.5172,176080820903.54,889729.1726
Antioquia,4721,143300.23725,203375900461.2,670276.50527
Antioquia,4722,26358.36135,15849992231,129484.7408
Antioquia,4723,171048.19659,228524728337.96118,910771.26115
Antioquia,4724,154387.07499,124687767573.84,767526.72405
Antioquia,4729,57054.5848,45203127164.5,284235.3618
Antioquia,4731,47316.53045,69846475168,266279.83285
Antioquia,4732,4216.0984,5913207500,25716.8096
Antioquia,4741,78093.735,191692790833.6692,508380.8089
Antioquia,4751,20971.29072,32081899994.99,133955.117
Antioquia,4752,256276.45547,371955188275.1886,1585273.91575
Antioquia,4753,973.1091,5838654600,11677.3092
Antioquia,4754,98784.0592,133187646705.51599,681569.863
Antioquia,4755,43812.0567,58440873581,300414.9581
Antioquia,4759,155035.81455,206864908993.235,890749.62975
Antioquia,4761,65918.5407,81899380733.68,435050.5928
Antioquia,4762,17049.1667,35151469321,114012.008
Antioquia,4769,11710.9506,8951150611.6,53825.8624
Antioquia,4771,438022.39522,540787465564.9902,2627818.97846
Antioquia,4772,72814.4096,81561383978.586,393043.3201
Antioquia,4773,278541.22875,364614901812.8448,1940041.06424
Antioquia,4774,81686.34814,103624954658.5332,477541.26018
Antioquia,4775,17920.288399999998,17325626152,121245.14319999999
Antioquia,4781,168632.0206,87940878995.4,650348.3785
Antioquia,4782,20695.7022,14543000893,97584.2626
Antioquia,4789,74906.4082,46254187238.5,333270.1158
Antioquia,4791,116861.70024,140446566450,909014.8322599999
Antioquia,4792,231378.00495,138261137536.89,1291794.17309
Antioquia,4799,59712.18327,79724939276.6,269236.18181
Antioquia,4911,6561.8407,15241119880,50918.3285
Antioquia,4921,851297.35627,1048443023736.9924,4238861.71082
Antioquia,4922,6251.2927,9605413080,42706.2682
Antioquia,4923,414019.51156,561566115225.94,2169446.50964
Antioquia,4930,2525.301,4040481600,22727.709
Antioquia,5021,13581.811,12106536500,49592.107
Antioquia,5111,18277.12256,67112458652.1,142539.42149
Antioquia,5112,10834.9641,22261000676.4,84910.6536
Antioquia,5121,3252.5424,41265155370,31624.7277
Antioquia,5122,2793.273,5027891400,27932.730000000003
Antioquia,5210,18835.2697,16565364685.24,96803.8138
Antioquia,5221,48815.5291,64774542113.9,279117.4889
Antioquia,5222,1712.0391,5502583485,17120.391
Antioquia,5223,6878.59736,11420990880,49643.89984
Antioquia,5224,162541.86064,128213648290.66,682277.34702
Antioquia,5229,72457.35864,119764257754.198,481352.7199
Antioquia,5310,3715.4301,5846065194,22247.9295
Antioquia,5320,333640.01392,382635027545.7312,1822067.9477
Antioquia,5511,130494.74812,219892129899.97958,781967.6248
Antioquia,5513,2334.5989,5628504240,9044.5002
Antioquia,5514,39501.6497,45366544100,156143.0516
Antioquia,5519,7640.562900000001,9921761750,59932.548
Antioquia,5530,9301.17206,10167980905,58626.1877
Antioquia,5590,8830.0945,10972345740,52922.552899999995
Antioquia,5611,747178.95197,864646448426.4702,4163954.4920799998
Antioquia,5612,3712.635,1599844880,29683.123
Antioquia,5613,127915.6897,115478516324.064,734924.5162
Antioquia,5619,602155.67029,433702155021.97,2999591.35185
Antioquia,5621,14228.311,20391446665.6,91180.7259
Antioquia,5629,38828.1324,40047047829.33,215109.3707
Antioquia,5630,208088.8627,271990449819.832,1201908.9062
Antioquia,5811,5928.5762,24739252010,49329.678
Antioquia,5813,5084.842500000001,7720558120,47280.3166
Antioquia,5820,31834.96062,150558296610,301296.0426
Antioquia,5911,24620.6317,56332342260,189491.4745
Antioquia,5912,937.0823,2811246900,8433.7407
Antioquia,5913,730.8073,730807300,7308.073
Antioquia,5914,5430.4204,7741469520,38572.6662
Antioquia,5920,6371.35,56942323000,45247.67
Antioquia,6010,13061.6553,24328048667.3944,114963.0905
Antioquia,6020,4230.1031,15890106280,42293.526000000005
Antioquia,6110,73810.06693,145254809156.3178,483980.14524
Antioquia,6120,41895.6777,91646477301.9628,344053.3677
Antioquia,6130,12644.7405,11413235200,95785.6805
Antioquia,6190,55515.7505,138903633905,451891.6821
Antioquia,6201,166968.31279999999,1022137774633.5,1670921.5609
Antioquia,6202,55579.098,217556361160,510707.7664
Antioquia,6209,24069.4184,65292867224.2,224432.5124
Antioquia,6311,6123.9920999999995,46995686940,43220.0025
Antioquia,6312,3990.6662,12200777940,38834
Antioquia,6399,5318.15,7867430600,47103.786
Antioquia,6411,2225.96,10006155943.5,23916.1936
Antioquia,6412,249985.0276,695445804590.3688,2350207.2373
Antioquia,6422,5345.243,13204659000,50492.579
Antioquia,6423,26045.3813,140714272410,250995.36849999998
Antioquia,6424,23511.469110000002,50018054371,212462.4778
Antioquia,6431,922.0272,3688108800,9220.272
Antioquia,6432,4732.188,8968726050,47321.880000000005
Antioquia,6492,6011.5972,11427036776,53267.6676
Antioquia,6493,803.6902,803690200,2411.0706
Antioquia,6494,981.6972,1963394400,4908.486
Antioquia,6499,71838.73178,182004393971.92,582833.26984
Antioquia,6511,86699.8237,222866843058,728755.8125
Antioquia,6512,17395.4708,31515816010,141836.1592
Antioquia,6515,4881.679,12033734840,46965.649600000004
Antioquia,6521,6427.2485,33411484060,60270.693999999996
Antioquia,6522,6605.5368,37718556622,64867.2679
Antioquia,6523,57917.94479,109654644074.128,528579.6764
Antioquia,6531,1875.6839,5002426625,17119.607
Antioquia,6532,8735.4392,25713195100,90497.9402
Antioquia,6612,1682.6569,2805768700,12156.9905
Antioquia,6614,1592.7454,1173569700,7963.727
Antioquia,6615,3534.794,10421340000,23775.37
Antioquia,6619,2086.7402,112581045740.00002,23045.182
Antioquia,6621,811.1481,811148100,7300.3329
Antioquia,6630,11150.5663,15428309350,97335.8477
Antioquia,6810,68815.7023,217500480107.268,525115.1163
Antioquia,6820,257046.8739,416353522086.1208,1681804.0515
Antioquia,6910,110350.61034,370155233216.5,1086756.8616
Antioquia,6920,133077.6025,345754022117.754,1269108.8414
