fecha,clae3,total_fob
2007-04-01,382,1456429
2007-04-01,410,460250
2007-04-01,421,65343
2007-04-01,422,652807
2007-04-01,429,13458353
2007-04-01,432,208822
2007-04-01,439,-99
2007-04-01,451,157633
2007-04-01,452,-99
2007-04-01,453,3814700
2007-04-01,454,-99
2007-04-01,461,27270826
2007-04-01,462,354889760
2007-04-01,463,67278944
2007-04-01,464,20800644
2007-04-01,465,7573169
2007-04-01,466,13078232
2007-04-01,469,22682970
2007-04-01,471,6646566
2007-04-01,472,186645
2007-04-01,473,-99
2007-04-01,474,154491
2007-04-01,475,280604
2007-04-01,476,259664
2007-04-01,477,2930251
2007-04-01,478,-99
2007-04-01,479,36688
2007-04-01,492,884313
2007-04-01,493,-99
2007-04-01,501,1177701
2007-04-01,502,-99
2007-04-01,511,12812513
2007-04-01,512,-99
2007-04-01,521,-99
2007-04-01,522,6173351
2007-04-01,523,2866220
2007-04-01,524,59752
2007-04-01,551,-99
2007-04-01,561,237900
2007-04-01,581,2670476
2007-04-01,591,710561
2007-04-01,602,228902
2007-04-01,612,-99
2007-04-01,613,-99
2007-04-01,614,-99
2007-04-01,619,96014
2007-04-01,620,1235520
2007-04-01,649,272397
2007-04-01,681,12284884
2007-04-01,682,-99
2007-04-01,691,-99
2007-04-01,692,-99
2007-04-01,702,2988822
2007-04-01,711,2510483
2007-04-01,712,-99
2007-04-01,721,140538
2007-04-01,731,31595
2007-04-01,741,-99
2007-04-01,742,-99
2007-04-01,749,48725
2007-04-01,750,-99
2007-04-01,771,-99
2007-04-01,773,2412762
2007-04-01,774,-99
2007-04-01,791,-99
2007-04-01,821,201838
2007-04-01,822,104219
2007-04-01,823,-99
2007-04-01,829,7599088
2007-04-01,853,-99
2007-04-01,854,-99
2007-04-01,863,-99
2007-04-01,869,54859
2007-04-01,880,-99
2007-04-01,900,-99
2007-04-01,910,-99
2007-04-01,920,-99
2007-04-01,939,29114
2007-04-01,941,-99
2007-04-01,949,885538
2007-04-01,951,-99
2007-04-01,960,1751016
2007-04-01,999,1231220
2007-05-01,11,27108340
2007-05-01,12,36706296
2007-05-01,13,3134268
2007-05-01,14,9412114
2007-05-01,16,657809
2007-05-01,17,-99
2007-05-01,21,177786
2007-05-01,22,1124793
2007-05-01,24,-99
2007-05-01,31,65686792
2007-05-01,32,-99
2007-05-01,51,-99
